date,"FinBERT_Score (-1, 1)",Article_Count
2020-01-01,-0.017603411455009436,185
2020-01-02,0.000567272745530968,309
2020-01-03,-0.22361654523448307,233
2020-01-04,-0.09234144464398752,106
2020-01-05,-0.10905121662230655,55
2020-01-06,0.019241145520012767,126
2020-01-07,-0.11956917057132237,234
2020-01-08,-0.10949854608931242,213
2020-01-09,-0.06524225366230922,197
2020-01-10,-0.00753976663318573,211
2020-01-11,-0.07406045409325178,101
2020-01-12,0.001180449160389029,52
2020-01-13,-0.02184635350325455,204
2020-01-14,-0.021525159718268985,289
2020-01-15,0.023713948709988282,285
2020-01-16,-0.004200210485417964,295
2020-01-17,0.0856325956498695,311
2020-01-18,-0.021791072901459815,92
2020-01-19,-0.016842993622531697,49
2020-01-20,0.06603883539671561,251
2020-01-21,0.040145897402245306,214
2020-01-22,0.05825616764242671,248
2020-01-23,-0.058992361998621456,235
2020-01-24,-0.040160020237809485,178
2020-01-25,0.06460732880881742,95
2020-01-26,0.07459574698936194,100
2020-01-27,-0.10419352180751913,207
2020-01-28,-0.03930261634044754,258
2020-01-29,0.0050420171448162625,350
2020-01-30,-0.07882015081483495,258
2020-01-31,-0.002331138032223035,221
2020-02-01,0.07075099446266503,77
2020-02-02,-0.06907527927352591,86
2020-02-03,-0.03384063385724348,332
2020-02-04,-0.12168547960531538,482
2020-02-05,-0.06033876624630316,316
2020-02-06,0.07626921501762879,364
2020-02-07,0.05116493692901686,266
2020-02-08,0.030064162433551377,83
2020-02-09,0.05355350932074805,59
2020-02-10,-0.06560771221196965,152
2020-02-11,-0.09096809391760163,315
2020-02-12,0.0011814437437591687,265
2020-02-13,-0.026185177338237945,247
2020-02-14,-0.13858172077976416,269
2020-02-15,-0.2152179438267311,137
2020-02-16,-0.14914913244865602,64
2020-02-17,-0.17103506570371488,192
2020-02-18,-0.0199642953415027,214
2020-02-19,-0.02123017816755698,268
2020-02-20,-0.20786157910948752,362
2020-02-21,-0.29489301871743145,357
2020-02-22,-0.19674989552886196,132
2020-02-23,-0.16550355921076101,66
2020-02-24,-0.07224965335988494,189
2020-02-25,-0.07019825253908517,157
2020-02-26,0.0646948871518297,183
2020-02-27,0.08726270848966808,251
2020-02-28,-0.041361220126344383,196
2020-02-29,-0.21002029647662057,139
2020-03-01,-0.2431089631281793,53
2020-03-02,-0.1093417067419399,176
2020-03-03,-0.24283863376734444,305
2020-03-04,-0.24336207467540855,307
2020-03-05,-0.13566404870128398,294
2020-03-06,-0.16288658485315005,213
2020-03-07,-0.07483577344100922,72
2020-03-08,-0.04643045458353207,79
2020-03-09,-0.020349342008837715,156
2020-03-10,-0.07139619129093906,254
2020-03-11,-0.06554111036679348,283
2020-03-12,-0.06535928645594553,154
2020-03-13,-0.13675355212984697,210
2020-03-14,-0.07552435967913816,142
2020-03-15,-0.10955087006932088,102
2020-03-16,-0.07947346032597125,192
2020-03-17,-0.0645978961748859,234
2020-03-18,-0.11224352555688132,242
2020-03-19,-0.07214077048496727,204
2020-03-20,-0.12327392466942824,252
2020-03-21,-0.09990893807883064,150
2020-03-22,-0.0877217769351167,48
