Buy Day,Sell Day,Buy Price,Predicted Sell,Actual Sell,Profit/Loss,Gain %,Cumulative Profit
71,72,$34.87,$35.02,$34.62,$-0.25,-0.70%,$-0.25
72,73,$34.62,$34.67,$35.01,$0.39,1.11%,$0.14
90,91,$35.78,$35.85,$35.39,$-0.39,-1.10%,$-0.25
91,92,$35.39,$35.92,$35.73,$0.35,0.98%,$0.10
92,93,$35.73,$36.01,$35.43,$-0.30,-0.85%,$-0.21
93,94,$35.43,$36.12,$35.44,$0.01,0.03%,$-0.20
94,95,$35.44,$36.26,$35.75,$0.31,0.88%,$0.11
95,96,$35.75,$36.39,$36.07,$0.32,0.90%,$0.43
96,97,$36.07,$36.34,$34.39,$-1.68,-4.67%,$-1.25
97,98,$34.39,$35.98,$35.37,$0.98,2.85%,$-0.27
98,99,$35.37,$35.65,$35.18,$-0.19,-0.53%,$-0.46
99,100,$35.18,$35.51,$34.94,$-0.24,-0.68%,$-0.70
100,101,$34.94,$35.44,$35.35,$0.41,1.17%,$-0.29
101,102,$35.35,$35.40,$35.72,$0.37,1.03%,$0.08
103,104,$35.18,$35.35,$34.92,$-0.26,-0.73%,$-0.18
104,105,$34.92,$35.34,$34.68,$-0.24,-0.69%,$-0.42
105,106,$34.68,$35.32,$34.65,$-0.04,-0.10%,$-0.46
106,107,$34.65,$35.31,$35.04,$0.39,1.13%,$-0.06
107,108,$35.04,$35.31,$35.02,$-0.02,-0.05%,$-0.08
108,109,$35.02,$35.30,$35.17,$0.15,0.43%,$0.07
109,110,$35.17,$35.30,$35.45,$0.28,0.79%,$0.35
118,119,$35.30,$35.43,$35.45,$0.15,0.43%,$0.50
119,120,$35.45,$35.46,$35.13,$-0.32,-0.90%,$0.18
120,121,$35.13,$35.48,$35.40,$0.28,0.79%,$0.45
121,122,$35.40,$35.46,$35.07,$-0.34,-0.96%,$0.11
122,123,$35.07,$35.43,$34.83,$-0.23,-0.66%,$-0.12
123,124,$34.83,$35.40,$35.93,$1.10,3.15%,$0.98
132,133,$36.01,$36.10,$35.43,$-0.58,-1.61%,$0.40
133,134,$35.43,$36.13,$35.44,$0.01,0.03%,$0.41
134,135,$35.44,$36.14,$35.34,$-0.10,-0.28%,$0.31
135,136,$35.34,$36.18,$35.16,$-0.19,-0.53%,$0.12
136,137,$35.16,$36.20,$35.71,$0.55,1.57%,$0.67
137,138,$35.71,$36.16,$35.85,$0.14,0.40%,$0.82
138,139,$35.85,$36.10,$35.85,$0.00,0.00%,$0.82
139,140,$35.85,$36.03,$36.68,$0.83,2.31%,$1.65
159,160,$35.40,$36.69,$35.21,$-0.18,-0.51%,$1.46
160,161,$35.21,$36.61,$35.92,$0.71,2.01%,$2.17
161,162,$35.92,$36.61,$36.17,$0.25,0.71%,$2.42
162,163,$36.17,$36.62,$36.30,$0.13,0.35%,$2.55
163,164,$36.30,$36.61,$36.25,$-0.05,-0.15%,$2.50
164,165,$36.25,$36.60,$36.26,$0.01,0.02%,$2.51
165,166,$36.26,$36.60,$36.69,$0.43,1.20%,$2.94
169,170,$36.04,$36.63,$36.46,$0.42,1.16%,$3.36
170,171,$36.46,$36.64,$36.47,$0.02,0.05%,$3.38
171,172,$36.47,$36.65,$36.69,$0.22,0.60%,$3.59
177,178,$36.26,$36.72,$36.77,$0.52,1.42%,$4.11
182,183,$37.01,$37.03,$37.32,$0.31,0.83%,$4.42
187,188,$37.35,$37.53,$37.83,$0.48,1.28%,$4.90
224,225,$38.16,$39.13,$39.42,$1.25,3.28%,$6.15
226,227,$38.50,$39.01,$38.05,$-0.44,-1.15%,$5.71
227,228,$38.05,$38.95,$38.28,$0.22,0.58%,$5.93
228,229,$38.28,$38.92,$38.01,$-0.27,-0.70%,$5.66
229,230,$38.01,$38.93,$37.96,$-0.05,-0.12%,$5.61
230,231,$37.96,$38.95,$38.74,$0.78,2.06%,$6.40
231,232,$38.74,$38.94,$38.04,$-0.71,-1.83%,$5.69
232,233,$38.04,$38.92,$37.76,$-0.28,-0.73%,$5.41
233,234,$37.76,$38.90,$37.94,$0.18,0.49%,$5.60
234,235,$37.94,$38.89,$37.85,$-0.09,-0.24%,$5.50
235,236,$37.85,$38.87,$37.31,$-0.54,-1.43%,$4.96
236,237,$37.31,$38.84,$37.23,$-0.08,-0.22%,$4.88
237,238,$37.23,$38.82,$37.19,$-0.04,-0.10%,$4.84
238,239,$37.19,$38.80,$37.15,$-0.04,-0.10%,$4.80
239,240,$37.15,$38.78,$37.83,$0.68,1.83%,$5.49
240,241,$37.83,$38.78,$37.59,$-0.25,-0.66%,$5.24
241,242,$37.59,$38.79,$38.30,$0.72,1.91%,$5.95
242,243,$38.30,$38.79,$38.85,$0.55,1.44%,$6.51
244,245,$38.56,$38.81,$38.83,$0.27,0.69%,$6.77
254,255,$39.10,$39.88,$39.13,$0.03,0.07%,$6.80
255,256,$39.13,$39.94,$38.96,$-0.17,-0.42%,$6.63
256,257,$38.96,$39.97,$38.96,$-0.01,-0.02%,$6.63
257,258,$38.96,$39.97,$38.90,$-0.06,-0.14%,$6.57
258,259,$38.90,$39.96,$38.62,$-0.29,-0.73%,$6.29
259,260,$38.62,$39.96,$38.70,$0.08,0.21%,$6.37
260,261,$38.70,$39.95,$38.88,$0.18,0.48%,$6.55
261,262,$38.88,$39.94,$37.59,$-1.29,-3.31%,$5.26
262,263,$37.59,$40.07,$37.50,$-0.09,-0.24%,$5.17
263,264,$37.50,$40.00,$37.01,$-0.50,-1.32%,$4.68
264,265,$37.01,$39.87,$36.76,$-0.25,-0.67%,$4.43
265,266,$36.76,$39.74,$36.72,$-0.04,-0.10%,$4.39
266,267,$36.72,$39.28,$36.73,$0.01,0.03%,$4.40
267,268,$36.73,$39.15,$36.60,$-0.13,-0.35%,$4.27
268,269,$36.60,$39.07,$36.75,$0.15,0.40%,$4.42
269,270,$36.75,$39.03,$36.71,$-0.04,-0.10%,$4.38
270,271,$36.71,$39.01,$36.42,$-0.29,-0.80%,$4.09
271,272,$36.42,$38.98,$36.78,$0.36,0.98%,$4.45
272,273,$36.78,$38.93,$36.98,$0.20,0.55%,$4.65
273,274,$36.98,$38.84,$37.02,$0.05,0.12%,$4.69
274,275,$37.02,$38.73,$36.43,$-0.60,-1.61%,$4.10
275,276,$36.43,$38.63,$35.79,$-0.63,-1.74%,$3.46
276,277,$35.79,$38.51,$35.81,$0.02,0.05%,$3.48
