date,"FinBERT_Score (-1, 1)",Article_Count
2020-01-01,-0.020204115596910318,15
2020-01-02,0.01622546065805687,18
2020-01-03,0.011585994030941616,11
2020-01-04,-0.526571543680297,9
2020-01-05,0.030673212371766567,5
2020-01-06,-0.0105040546040982,8
2020-01-07,-0.01682165698506511,13
2020-01-08,0.07886844720034038,17
2020-01-09,-0.09611960793180126,56
2020-01-10,0.022821617703283986,31
2020-01-11,-0.011191005469299853,12
2020-01-12,0.046771806199103594,8
2020-01-13,0.04909394175047055,16
2020-01-14,0.032719190999427265,17
2020-01-15,-0.015393799581729314,17
2020-01-16,0.19792600950625325,14
2020-01-17,-0.2023579229672368,13
2020-01-18,0.023350505424397334,7
2020-01-19,-0.13947615741441646,3
2020-01-20,0.10668521153274924,8
2020-01-21,-0.05631881630979478,20
2020-01-22,0.14072621800005436,33
2020-01-23,0.21083932054941268,17
2020-01-24,0.1768733086064458,15
2020-01-25,0.08599522004702262,7
2020-01-26,-0.0421002582879737,8
2020-01-27,0.09564200810228403,26
2020-01-28,0.40767212336262065,15
2020-01-29,0.17594399631982952,33
2020-01-30,0.010073661041478145,58
2020-01-31,-0.3017099008895457,40
2020-02-01,0.08439747264815702,9
2020-02-02,-0.334945243517203,7
2020-02-03,-0.021281894009846907,39
2020-02-04,-0.2558656762897347,24
2020-02-05,-0.12744129499928517,11
2020-02-06,-0.6421348793236049,76
2020-02-07,-0.21163776446133853,25
2020-02-08,0.04906643104429046,6
2020-02-09,0.23310344076404968,3
2020-02-10,0.27983948694203387,11
2020-02-11,-0.14178769137813813,36
2020-02-12,-0.11979088340497886,24
2020-02-13,0.15714338687522447,34
2020-02-14,0.16111467865162662,28
2020-02-16,-0.3306869600367333,7
2020-02-17,0.064492871829619,6
2020-02-18,0.06576496176421642,12
2020-02-19,0.12781479844124988,16
2020-02-20,-0.22345159681012425,26
2020-02-21,-0.20709032436402944,26
2020-02-22,-0.04138930342518366,13
2020-02-23,-0.3861692707675199,6
2020-02-24,0.28879809680140833,11
2020-02-25,0.17951282090507448,20
2020-02-26,0.38410215522162616,22
2020-02-27,-0.1748759785274926,19
2020-02-28,-0.16283327215077245,17
2020-02-29,-0.141962303314358,6
2020-03-01,0.11446568490937352,10
2020-03-02,0.1345623294792829,31
2020-03-03,-0.1276572241580912,14
2020-03-04,0.14629821366581477,19
2020-03-05,0.17499900429642626,14
2020-03-06,0.13540575022880846,13
2020-03-07,0.2083839258322349,13
2020-03-08,-0.36615641275420785,2
2020-03-09,0.14037764582428194,21
2020-03-10,0.18933085278452685,12
2020-03-11,0.16067326004507348,34
2020-03-12,0.31224194590164267,23
2020-03-13,-0.026628476046025754,25
2020-03-14,0.02458848345226475,14
2020-03-15,-0.19856771628838032,8
2020-03-16,-0.2463881106232293,16
2020-03-17,-0.4234760309259097,15
2020-03-18,0.43269699895754454,10
2020-03-19,-0.041418333537876606,13
2020-03-20,0.17812370043247938,13
2020-03-21,0.15719489048102073,7
2020-03-22,-0.10760629922151566,4
2020-03-23,0.11724435575306416,20
2020-03-24,0.07524899783958164,36
2020-03-25,0.13503831181236925,17
2020-03-26,0.021237281637943604,22
2020-03-27,0.18796957284212112,12
2020-03-28,-0.00955648347735405,2
2020-03-29,0.003312167711555958,2
2020-03-30,0.14756953680059975,9
2020-03-31,-0.06650054657503086,17
2020-04-01,0.2637978728468481,19
2020-04-02,0.13107402222778866,17
2020-04-03,0.1458674758517494,12
2020-04-04,0.02420710399746895,7
2020-04-05,0.01796168740838766,2
2020-04-06,0.14056075188434786,9
2020-04-07,-0.16687451216222887,22
2020-04-08,0.09081941856337446,7
2020-04-09,0.16884991573169827,13
2020-04-10,-0.12544586689078382,14
2020-04-11,-0.565213686786592,3
2020-04-12,0.028244728222489357,2
2020-04-13,0.11770786402317193,13
2020-04-14,0.18531797823379748,32
2020-04-15,0.14544529125334754,31
2020-04-16,0.17899392083442459,48
2020-04-17,0.13656010979673627,33
2020-04-18,0.17638033549659526,13
2020-04-19,0.2496374611121913,6
2020-04-20,0.11122535533892612,12
2020-04-21,0.29188906980146256,21
2020-04-22,0.1804544403217733,30
2020-04-23,0.26123198061109043,33
2020-04-24,-0.17748848839093828,72
2020-04-25,0.06647604742708306,12
2020-04-26,-0.006348231807351112,2
2020-04-27,0.07456000692521532,33
2020-04-28,-0.09005185747236917,33
2020-04-29,-0.06565283235977404,16
2020-04-30,0.3614799023605883,10
2020-05-01,0.15842953071530377,14
2020-05-02,0.7032120320945978,1
2020-05-03,0.02909214235842228,1
2020-05-04,0.2085985473531764,16
2020-05-05,0.14321859238076617,22
2020-05-06,0.16099170297901663,18
2020-05-07,-0.06507181122692095,27
2020-05-08,0.2836149633595986,14
2020-05-09,0.027483749389648437,5
2020-05-10,-0.23542789711306492,3
2020-05-11,0.2487218845014771,15
2020-05-12,0.18360654712610303,21
2020-05-13,0.07477058056328031,9
2020-05-14,0.1290445634060436,18
2020-05-15,0.04748903930054179,14
2020-05-16,-0.16488888021558523,8
2020-05-17,0.042049906216561794,2
2020-05-18,-0.010955629616298458,22
2020-05-19,0.010589646915083422,34
2020-05-20,0.16049686706575908,38
2020-05-21,0.11150757526047528,26
2020-05-22,0.0860613136984674,28
2020-05-23,0.27562103047966957,2
2020-05-24,0.02915417728945613,2
2020-05-25,0.052449364215135574,1
2020-05-26,-0.027684524788388183,7
2020-05-27,0.07637950778007507,14
2020-05-28,0.056275549344718456,17
2020-05-29,0.2890555372772117,6
2020-05-30,0.27634561403344077,3
2020-05-31,0.16615007887594402,4
2020-06-01,0.17170492955483496,8
2020-06-02,0.10555568039417267,15
2020-06-03,0.1242352136824694,9
2020-06-04,-0.0242648512463678,11
2020-06-05,-0.020640759853025277,15
2020-06-06,0.03517362289130688,7
2020-06-07,-0.04713913556188345,5
2020-06-08,0.04703873321413994,5
2020-06-09,0.07787139236461371,8
2020-06-10,0.18512535312523445,9
2020-06-11,0.11900161443134913,13
2020-06-12,0.17420053842437008,23
2020-06-13,0.2098561021266505,4
2020-06-14,0.030869424808770418,2
2020-06-15,-0.4523041009947303,21
2020-06-16,-0.06003153410761855,43
2020-06-17,0.0974747200186054,9
2020-06-18,0.31455137076166767,12
2020-06-19,0.33829271021698204,7
2020-06-20,-0.14740711388488612,3
2020-06-22,0.3902821285384042,21
2020-06-23,0.1903277993260417,16
2020-06-24,0.3423806614768894,23
2020-06-25,-0.01885448724907987,34
2020-06-26,-0.4700890181120485,66
2020-06-27,-0.1799888739754495,19
2020-06-28,-0.44211781513877213,4
2020-06-29,-0.05844449643045664,10
2020-06-30,0.1305821894435212,20
2020-07-01,-0.039818538183515724,11
2020-07-02,0.07514217338309838,13
2020-07-03,0.1157356696203351,8
2020-07-04,-0.19105013702064752,5
2020-07-05,0.131336405640468,4
2020-07-06,0.07975856149569154,10
2020-07-07,0.17755994759500027,23
2020-07-08,-0.07797148555298061,17
2020-07-09,0.16643138952730668,21
2020-07-10,0.0920275682292413,16
2020-07-11,-0.14207566641271113,5
2020-07-12,0.09363482799381018,2
2020-07-13,0.1972571284594861,11
2020-07-14,0.1846161073243076,33
2020-07-15,0.0771687297616154,20
2020-07-16,0.2592766919853882,26
2020-07-17,0.19854828886066875,15
2020-07-18,-0.1929470387597879,9
2020-07-19,0.00871824137866497,5
2020-07-20,-0.17538024635555652,13
2020-07-21,-0.48806925042747307,26
2020-07-22,0.04350089783901754,23
2020-07-23,0.12920627702513468,23
2020-07-24,0.04481278747386698,56
2020-07-25,-0.2860512073772649,6
2020-07-26,-0.1087627166416496,8
2020-07-27,0.16860897024162114,16
2020-07-28,0.05692463475637711,13
2020-07-29,-0.17012453575929007,3
2020-07-30,0.15868440219201146,20
2020-07-31,0.004664405116013118,7
2020-08-01,-0.34903108421713114,2
2020-08-02,0.017593275755643845,1
2020-08-03,0.17716929859792194,12
2020-08-04,0.1852061769671061,11
2020-08-05,0.06830479843275887,14
2020-08-06,0.46237767291151816,9
2020-08-07,0.118180195546963,11
2020-08-08,0.2684862092137337,5
2020-08-09,0.02196311205625534,2
2020-08-10,0.0718637028709054,20
2020-08-11,0.24704746707963446,12
2020-08-12,0.15296452461431423,9
2020-08-13,0.03404087125737634,18
2020-08-14,0.2490886327920153,17
2020-08-15,0.19552221428602934,2
2020-08-16,-0.01776617206633091,1
2020-08-17,0.16689082796342278,38
2020-08-18,0.10631841827968233,19
2020-08-19,-0.06776494436780922,16
2020-08-20,0.18486945612518035,23
2020-08-21,0.11340470839705732,18
2020-08-22,0.10727249486371875,10
2020-08-23,0.07103492356836796,5
2020-08-24,-0.07297214533069304,7
2020-08-25,0.3631530330982059,10
2020-08-26,0.21713238611648028,22
2020-08-27,0.06352044464173642,11
2020-08-28,0.08130528586399224,9
2020-08-29,0.030175491236150265,2
2020-08-31,0.08860390081715125,13
2020-09-01,-0.15956410695798695,16
2020-09-02,0.0624147862075798,31
2020-09-03,0.29284562896513805,66
2020-09-04,0.010076154605485499,24
2020-09-05,0.04011073801666498,3
2020-09-06,-0.11463976595550776,5
2020-09-07,0.5486365255899728,80
2020-09-08,0.4436217625202103,33
2020-09-09,0.33933319489618663,19
2020-09-10,0.12364622112363577,19
2020-09-11,0.03994205806018977,29
2020-09-12,0.027157385600730777,8
2020-09-13,-0.13297023634529775,9
2020-09-14,0.11915242300892714,64
2020-09-15,0.1677089754235128,29
2020-09-16,0.1983760765398897,21
2020-09-17,0.1550985704525374,16
2020-09-18,0.14246000977152068,23
2020-09-19,0.14095451217144728,8
2020-09-20,0.12807548753917217,5
2020-09-21,-0.0003055242602439488,17
2020-09-22,0.3194256510839544,11
2020-09-23,0.2730360436860634,23
2020-09-24,0.23728113517993027,18
2020-09-25,0.07470290885808376,26
2020-09-26,-0.09602261381223798,4
2020-09-27,0.0846983203664422,3
2020-09-28,0.03559018187224865,5
2020-09-29,0.17476888497670492,33
2020-09-30,0.06496683303266763,20
2020-10-01,0.18189208515949787,31
2020-10-02,0.3385695480168439,13
2020-10-03,0.31630810039738816,6
2020-10-04,-0.901780229061842,1
2020-10-05,0.11348062017932534,10
2020-10-06,0.05719336899193494,19
2020-10-07,0.018767054108056156,11
2020-10-08,0.2352779173793701,13
2020-10-09,0.1872536257973739,14
2020-10-10,0.23774004386117062,6
2020-10-11,-0.008703644076983133,3
2020-10-12,0.22836737667343446,7
2020-10-13,0.05715941917151213,31
2020-10-14,0.09178195506683551,32
2020-10-15,0.1768301136215173,21
2020-10-16,0.07712000150543948,18
2020-10-17,-0.009875696152448654,1
2020-10-18,0.0477447205533584,3
2020-10-19,0.1407414730840727,23
2020-10-20,0.33104121081693016,46
2020-10-21,0.26038519314505043,63
2020-10-22,0.33248932267140063,21
2020-10-23,0.18352471263561812,18
2020-10-24,0.12657770312701663,6
2020-10-25,-0.029314255419497687,6
2020-10-26,-0.09492099957747592,9
2020-10-27,0.14032800413668156,25
2020-10-28,0.12480815225525906,19
2020-10-29,0.20343042846376957,19
2020-10-30,-0.03882984545392295,12
2020-10-31,-0.002088521048426628,5
2020-11-01,0.05802412269016107,6
2020-11-02,0.28288057213649154,6
2020-11-03,0.3417690413383146,6
2020-11-04,0.19183464969197908,3
2020-11-05,0.14717616446109283,18
2020-11-06,0.18358994542310636,15
2020-11-07,0.06376100352711299,11
2020-11-08,0.10086806304752827,1
2020-11-09,0.18210773663250385,27
2020-11-10,0.10589128157452625,17
2020-11-11,0.12928798184212711,9
2020-11-12,0.11487214621156454,10
2020-11-13,-0.019883306929841638,10
2020-11-14,-0.20536794781219214,8
2020-11-15,0.13021436582008997,3
2020-11-16,0.19341721631852643,14
2020-11-17,0.2960661044344306,24
2020-11-18,0.22913969881259477,13
2020-11-19,0.15492078629781453,71
2020-11-20,0.13321144249726166,47
2020-11-21,0.28622585043988447,11
2020-11-22,0.3779806202898423,3
2020-11-23,0.1936767887091264,8
2020-11-24,0.1490925503196195,20
2020-11-25,0.34011082095094025,12
2020-11-26,0.17593160970136523,6
2020-11-27,0.14901379789225758,10
2020-11-28,0.04389247712161806,9
2020-11-29,0.10328707409401734,3
2020-11-30,0.1352174784988165,10
2020-12-01,-0.03488866328016708,19
2020-12-02,0.08969967191918723,31
2020-12-03,0.25989436358213425,20
2020-12-04,-0.2557351133889622,9
2020-12-05,-0.05607909041767319,6
2020-12-06,0.04834648221731186,5
2020-12-07,0.3264594949515803,7
2020-12-08,0.1516700561332982,16
2020-12-09,-0.012481747152791782,11
2020-12-10,0.26751521894974367,7
2020-12-11,0.1941780271673841,7
2020-12-12,-0.017433142910401028,6
2020-12-14,0.24639330469071866,10
2020-12-15,0.1471870495006442,8
2020-12-16,0.18436883733822748,13
2020-12-17,0.2381533296313137,20
2020-12-18,0.3618710912190951,13
2020-12-19,-0.16967088522182572,9
2020-12-21,-0.03872213683401545,9
2020-12-22,0.11188756992730002,12
2020-12-23,0.051519496916708624,22
2020-12-24,0.04608290269970894,5
2020-12-25,-0.20675045934816202,3
2020-12-26,-0.26734171031663817,3
2020-12-27,0.49818312423303723,2
2020-12-28,0.46245906595140696,8
2020-12-29,-0.08775898204608397,11
2020-12-30,-0.15109635572880506,10
2020-12-31,-0.30120505345985293,6
2021-01-01,0.018703219131566584,8
2021-01-02,-0.0611532568000257,2
2021-01-03,0.004736602306365967,1
2021-01-04,-0.13601228001061827,12
2021-01-05,0.17098297105569923,14
2021-01-06,-0.31855352176353335,18
2021-01-07,-0.01713400294205972,14
2021-01-08,0.0838248305177937,12
2021-01-09,0.020343676209449768,2
2021-01-10,0.3828142546117306,5
2021-01-11,-0.02162365113886503,13
2021-01-12,0.05157868837704882,24
2021-01-13,-0.20386030782873815,13
2021-01-14,0.32970676738768817,10
2021-01-15,0.18675960103670755,3
2021-01-16,-0.34537929520010946,5
2021-01-17,-0.1399519726295363,11
2021-01-18,0.1317709805443883,3
2021-01-19,0.2979171751802297,19
2021-01-20,0.1489345526153391,11
2021-01-21,-0.10906843597499224,13
2021-01-22,0.1740689039887751,17
2021-01-23,0.12338780239224434,3
2021-01-24,0.030300865881145,1
2021-01-25,0.17601092931415355,21
2021-01-26,-0.09550267286514016,88
2021-01-27,-0.0006142138237399715,28
2021-01-28,0.29624961147783324,16
2021-01-29,0.1656664225156419,16
2021-01-30,0.13301344448700547,2
2021-02-01,0.16589272997918583,21
2021-02-02,0.17780639365082607,16
2021-02-03,0.08432727691251785,8
2021-02-04,-0.11861246710436212,9
2021-02-05,0.14993816391668385,18
2021-02-06,0.06192291182066713,7
2021-02-07,0.04575244779698551,4
2021-02-08,0.09948741343604135,28
2021-02-09,-0.13216860676184297,10
2021-02-10,0.24551257996686868,7
2021-02-11,0.2611826162578331,9
2021-02-12,0.28358841141951935,7
2021-02-13,0.38496591119716567,3
2021-02-14,-0.6088961377739907,5
2021-02-15,0.1367327060837012,13
2021-02-16,0.22013449620527142,26
2021-02-17,0.13247977220453322,38
2021-02-18,0.3103720312938094,14
2021-02-19,0.08603290322103671,14
2021-02-20,0.31589384097605944,2
2021-02-21,-0.03230092270920674,3
2021-02-22,0.23826815180767041,13
2021-02-23,0.04580834787338972,5
2021-02-24,0.1772314359300903,21
2021-02-25,0.3578481282557136,29
2021-02-26,0.1717080958575631,12
2021-02-27,0.13362876465544105,4
2021-02-28,0.05968776997178793,3
2021-03-01,4.572383212772283e-05,22
2021-03-02,0.2319642206033071,15
2021-03-03,0.09044861919911844,14
2021-03-04,0.09183982270769775,8
2021-03-05,0.2510897208121605,16
2021-03-06,-0.43509548739530146,4
2021-03-07,-0.018472878262400627,3
2021-03-08,0.11198690111438434,15
2021-03-09,0.28260032848144573,12
2021-03-10,0.15183182420547714,11
2021-03-11,0.15276130243997882,54
2021-03-12,0.22979902587009265,34
2021-03-13,-0.24117712047882378,4
2021-03-14,0.34239218290895224,3
2021-03-15,0.2623772146490713,15
2021-03-16,0.25125774182379246,9
2021-03-17,0.12049425799133522,7
2021-03-18,0.26655761792790145,8
2021-03-19,0.09517712844535708,4
2021-03-20,0.02422073669731617,1
2021-03-21,-0.3235839046537876,3
2021-03-22,0.44272494297474624,5
2021-03-23,0.1656522177056306,18
2021-03-24,-0.04829850591915218,19
2021-03-25,0.20201933331554756,16
2021-03-26,0.12973630375095777,7
2021-03-27,0.2738025179132819,4
2021-03-28,0.09101847326382995,2
2021-03-29,0.23837495263433084,8
2021-03-30,-0.3849748038303326,17
2021-03-31,-0.17077978621972234,19
2021-04-01,0.10910709157016957,36
2021-04-02,0.17256294366800123,9
2021-04-03,0.28918469914545614,3
2021-04-05,0.4638445337980308,11
2021-04-06,0.1693195505940821,16
2021-04-07,0.20338929768397726,22
2021-04-08,-0.031599053965381735,41
2021-04-09,-0.37100047276665765,48
2021-04-10,-0.09456070315920645,9
2021-04-11,-0.6912549389526248,3
2021-04-12,0.2839390709478822,18
2021-04-13,-0.024589804311593372,18
2021-04-14,0.21147379581816494,16
2021-04-15,0.3546415049778788,19
2021-04-16,-0.055584588134661314,10
2021-04-17,0.3016672288067639,3
2021-04-18,0.2930412548594177,2
2021-04-19,0.35128482710570097,9
2021-04-20,0.2744573669707669,28
2021-04-21,0.07193097354550111,38
2021-04-22,0.08341757377938312,17
2021-04-23,0.15392782615328376,11
2021-04-24,0.10050695724785327,5
2021-04-25,0.03087993897497654,1
2021-04-26,0.1477069708518684,10
2021-04-27,-0.13997331197912755,19
2021-04-28,-0.024262290742052228,19
2021-04-29,0.18251417598433115,33
2021-04-30,0.22387731210550382,21
2021-05-01,-0.08615533597767353,5
2021-05-02,0.28538105997722596,4
2021-05-03,0.017549678716943205,166
2021-05-04,0.046970441760051815,42
2021-05-05,0.21980753496754915,20
2021-05-06,0.28925703642889855,10
2021-05-07,0.17961062512432152,13
2021-05-08,0.05975641030818224,3
2021-05-09,0.4203493925742805,2
2021-05-10,0.07350376955069163,17
2021-05-11,0.37951167185153617,19
2021-05-12,-0.08952459855936468,16
2021-05-13,-0.016869814778190283,21
2021-05-14,0.011198382410738204,18
2021-05-15,0.8149835523217916,1
2021-05-16,0.03915872564539313,2
2021-05-17,0.11051766701381315,11
2021-05-18,-0.2432195188011974,8
2021-05-19,0.04666963894851506,4
2021-05-20,0.10742086083873321,19
2021-05-21,0.08450189344584942,10
2021-05-22,0.26953290596914786,6
2021-05-23,-0.3631056398153305,1
2021-05-24,0.02540557585656643,25
2021-05-25,0.17050934935520803,14
2021-05-26,0.15649819231281678,15
2021-05-27,0.0019294375961180776,16
2021-05-28,0.2523742877612157,14
2021-05-29,0.27346360962837934,3
2021-05-30,0.45098030380904675,2
2021-05-31,-0.26402950069556635,3
2021-06-01,0.2008123328560032,16
2021-06-02,0.16226518781774718,23
2021-06-03,0.23625410857299964,15
2021-06-04,0.16135667255994948,11
2021-06-05,0.19978513140231371,5
2021-06-06,-0.22720663398504257,5
2021-06-07,-0.027578024892136455,8
2021-06-08,-0.009783576760027144,9
2021-06-09,0.11761519737774506,8
2021-06-10,0.2565155376827246,19
2021-06-11,0.2931174986228785,17
2021-06-12,0.4630544949322939,2
2021-06-13,-0.04574005922768265,8
2021-06-14,0.12580731984875773,23
