date,Net income (m),Shares Outstanding (m)
2025-12-31,"$2,342","4,236"
2025-09-30,"$4,950","4,233"
2025-06-30,"$5,003","4,228"
2025-03-31,"$4,879","4,226"
2024-12-31,"$5,005","4,223"
2024-09-30,"$3,306","4,225"
2024-06-30,"$4,593","4,221"
2024-03-31,"$4,602","4,219"
2023-12-31,"-$2,705","4,215"
2023-09-30,"$4,762","4,216"
2023-06-30,"$4,648","4,213"
2023-03-31,"$4,909","4,211"
2022-12-31,"$6,577","4,204"
2022-09-30,"$4,900","4,204"
2022-06-30,"$5,199","4,202"
2022-03-31,"$4,580","4,202"
2021-12-31,"$4,613","4,150"
2021-09-30,"$6,407","4,144"
2021-06-30,"$5,800","4,143"
2021-03-31,"$5,245","4,142"
2020-12-31,"$4,588","4,142"
2020-09-30,"$4,357","4,142"
2020-06-30,"$4,700","4,141"
2020-03-31,"$4,156","4,141"
2019-12-31,"$5,095","4,140"
2019-09-30,"$5,194","4,140"
2019-06-30,"$3,944","4,139"
2019-03-31,"$5,032","4,140"
2018-12-31,"$1,939","4,132"
2018-09-30,"$4,924","4,140"
2018-06-30,"$4,120","4,139"
2018-03-31,"$4,545","4,107"
2017-12-31,"$18,669","4,089"
2017-09-30,"$3,620","4,089"
2017-06-30,"$4,362","4,087"
2017-03-31,"$3,450","4,087"
2016-12-31,"$4,495","4,086"
2016-09-30,"$3,620","4,086"
2016-06-30,$702,"4,085"
2016-03-31,"$4,310","4,085"
2015-12-31,"$5,391","4,093"
2015-09-30,"$4,038","4,078"
2015-06-30,"$4,231","4,085"
2015-03-31,"$4,219","4,121"
2014-12-31,"-$2,231","3,981"
2014-09-30,"$3,695","4,159"
2014-06-30,"$4,214","4,153"
2014-03-31,"$3,947","3,430"
