Buy Day,Sell Day,Buy Price,Predicted Sell,Actual Sell,Profit/Loss,Cumulative Profit,,,,,Buy Day,Sell Day,Buy Price,Predicted Sell,Actual Sell,Profit/Loss,Cumulative Profit,,,,,Return percent 
45,46,$36.03,$36.11,$35.44,-$0.60,-$0.60,,Profitable Trades,Unprofitable Trades,,1,2,37.96,38.95,38.74,0.78,0.78,,0.78,-0.71,,-0.01665278934
46,47,$35.44,$36.15,$34.99,-$0.45,-$1.04,,$0.33,-$0.60,,2,3,38.74,38.94,38.04,-0.71,0.07,,0.18,-0.28,,
47,48,$34.99,$36.22,$34.82,-$0.17,-$1.21,,$0.03,-$0.45,,3,4,38.04,38.92,37.76,-0.28,-0.2,,0.68,-0.09,,
48,49,$34.82,$36.29,$35.16,$0.33,-$0.88,,$0.02,-$0.17,,4,5,37.76,38.9,37.94,0.18,-0.02,,0.72,-0.54,,
49,50,$35.16,$36.36,$35.18,$0.03,-$0.85,,$0.39,-$0.09,,5,6,37.94,38.89,37.85,-0.09,-0.11,,0.55,-0.08,,
50,51,$35.18,$36.42,$35.20,$0.02,-$0.83,,$0.01,-$0.32,,6,7,37.85,38.87,37.31,-0.54,-0.65,,0.27,-0.04,,
51,52,$35.20,$36.43,$35.59,$0.39,-$0.45,,$0.53,-$0.06,,7,8,37.31,38.84,37.23,-0.08,-0.74,,0.03,-0.04,,
52,53,$35.59,$36.42,$35.50,-$0.09,-$0.53,,$0.21,-$0.85,,8,9,37.23,38.82,37.19,-0.04,-0.77,,0.08,-0.25,,
53,54,$35.50,$36.38,$35.51,$0.01,-$0.53,,$0.15,-$0.07,,9,10,37.19,38.8,37.15,-0.04,-0.81,,0.18,-0.17,,
54,55,$35.51,$36.33,$36.03,$0.53,$0.00,,$0.16,-$0.37,,10,11,37.15,38.78,37.83,0.68,-0.13,,0.01,-0.01,,
55,56,$36.03,$36.28,$35.71,-$0.32,-$0.32,,$0.10,-$0.35,,11,12,37.83,38.78,37.59,-0.25,-0.38,,0.15,-0.06,,
56,57,$35.71,$36.23,$35.65,-$0.06,-$0.39,,$0.04,-$0.02,,12,13,37.59,38.79,38.3,0.72,0.34,,0.36,-0.29,,
57,58,$35.65,$36.17,$34.80,-$0.85,-$1.24,,$0.54,-$0.43,,13,14,38.3,38.79,38.85,0.55,0.89,,0.2,-1.29,,
58,59,$34.80,$36.11,$35.01,$0.21,-$1.03,,$0.00,-$0.25,,15,16,38.56,38.81,38.83,0.27,1.16,,0.05,-0.09,,
59,60,$35.01,$36.09,$35.16,$0.15,-$0.88,,$0.11,-$0.15,,25,26,39.1,39.88,39.13,0.03,1.19,,0.02,-0.5,,
60,61,$35.16,$36.12,$35.09,-$0.07,-$0.95,,$0.39,-$0.02,,26,27,39.13,39.94,38.96,-0.17,1.02,,0.29,-0.25,,
61,62,$35.09,$36.15,$35.24,$0.16,-$0.79,,$0.04,-$0.20,,27,28,38.96,39.97,38.96,-0.01,1.01,,0.15,-0.04,,
62,63,$35.24,$36.17,$35.34,$0.10,-$0.69,,$0.13,-$0.29,,28,29,38.96,39.97,38.9,-0.06,0.96,,0.15,-0.13,,
63,64,$35.34,$36.17,$35.38,$0.04,-$0.66,,$0.37,-$0.32,,29,30,38.9,39.96,38.62,-0.29,0.67,,0.41,-0.04,,
64,65,$35.38,$36.15,$35.01,-$0.37,-$1.03,,$0.44,-$0.39,,30,31,38.62,39.96,38.7,0.08,0.75,,0.22,-0.29,,
65,66,$35.01,$36.12,$34.66,-$0.35,-$1.38,,$0.60,-$0.30,,31,32,38.7,39.95,38.88,0.18,0.94,,0.22,-0.6,,
66,67,$34.66,$36.09,$34.64,-$0.02,-$1.39,,$0.35,-$1.68,,32,33,38.88,39.94,37.59,-1.29,-0.35,,0.34,-0.63,,
67,68,$34.64,$36.08,$35.18,$0.54,-$0.85,,$0.01,-$0.26,,33,34,37.59,40.07,37.5,-0.09,-0.44,,1.03,-0.42,,
